activity	automated	case_id	event_detail	event_end	event_start	team	user
Final check of invoice	False	110561	Checked by John Tanner	2017-08-17 15:57:59	2017-08-14 03:56:55.500	Purchasing	John Tanner
Approve invoice	False	110561	Approve hierarchy (level 1)	2017-08-19 10:02:44	2017-08-18 20:01:09	Line management	Kiona Sanchez
Check received invoice	False	110562	Checked by Knox Gonzalez	2017-08-10 14:13:40	2017-08-10 14:13:39	Controlling	Knox Gonzalez
Request data	False	110562	Request sent: 2017-08-10	2017-08-10 15:56:44	2017-08-10 14:13:40	Controlling	Knox Gonzalez
Check contract conditions	False	110562	Checked by Knox Gonzalez	2017-08-10 15:56:47	2017-08-10 15:56:44	Controlling	Knox Gonzalez
Final check of invoice	True	110562	Checked by System	2017-08-10 15:57:27	2017-08-10 15:57:27	Auto-processor	System
Final check of invoice	False	110562	Checked by John Tanner	2017-08-17 15:57:59	2017-08-14 03:57:43	Purchasing	John Tanner
Approve invoice	False	110562	Approve hierarchy (level 3)	2017-08-19 08:42:35	2017-08-18 19:07:43	Line management	Kiona Sanchez
Check received invoice	False	110563	Checked by Knox Gonzalez	2017-08-10 14:14:05	2017-08-10 14:14:03	Controlling	Knox Gonzalez
Request data	False	110563	Request sent: 2017-08-10	2017-08-10 15:59:37	2017-08-10 14:14:05	Controlling	Knox Gonzalez
Check contract conditions	False	110563	Checked by Knox Gonzalez	2017-08-10 15:59:37	2017-08-10 15:59:37	Controlling	Knox Gonzalez
Final check of invoice	True	110563	Checked by System	2017-08-10 16:00:37	2017-08-10 16:00:37	Auto-processor	System
Final check of invoice	False	110563	Checked by John Tanner	2017-08-17 16:00:59	2017-08-14 04:00:48	Purchasing	John Tanner
Approve invoice	False	110563	Approve hierarchy (level 2)	2017-08-19 10:03:22	2017-08-18 20:02:34.333	Line management	Kiona Sanchez
Check received invoice	False	110564	Checked by Knox Gonzalez	2017-08-10 14:14:29	2017-08-10 14:14:28	Controlling	Knox Gonzalez
Request data	False	110564	Request sent: 2017-08-10	2017-08-10 16:41:47	2017-08-10 14:14:29	Controlling	Knox Gonzalez
Check contract conditions	False	110564	Checked by Knox Gonzalez	2017-08-10 16:41:49	2017-08-10 16:41:47	Controlling	Knox Gonzalez
Final check of invoice	True	110564	Checked by System	2017-08-10 16:42:26	2017-08-10 16:42:26	Auto-processor	System
Final check of invoice	True	110564	Checked by System	2017-08-17 16:42:59	2017-08-17 16:42:59	Auto-processor	System
Final check of invoice	False	110564	Checked by Xander Pittman	2017-08-20 16:43:29	2017-08-20 16:43:29	Other	Xander Pittman
Approve invoice	False	110564	Approve hierarchy (level 2)	2017-08-21 09:50:34	2017-08-21 04:08:12.333	Line management	Kiona Sanchez
Check received invoice	False	110565	Checked by Knox Gonzalez	2017-08-10 14:14:52	2017-08-10 14:14:51	Controlling	Knox Gonzalez
Request data	False	110565	Request sent: 2017-08-10	2017-08-10 16:42:41	2017-08-10 14:14:52	Controlling	Knox Gonzalez
Check contract conditions	False	110565	Checked by Knox Gonzalez	2017-08-10 16:42:44	2017-08-10 16:42:41	Controlling	Knox Gonzalez
Final check of invoice	True	110565	Checked by System	2017-08-17 16:45:59	2017-08-17 16:45:59	Auto-processor	System
Final check of invoice	False	110565	Checked by Xander Pittman	2017-08-20 16:46:29	2017-08-20 16:46:29	Other	Xander Pittman
Approve invoice	False	110565	Approve hierarchy (level 2)	2017-08-21 09:51:11	2017-08-21 04:09:37	Line management	Kiona Sanchez
Check received invoice	False	110566	Checked by Knox Gonzalez	2017-08-10 14:15:17	2017-08-10 14:15:15	Controlling	Knox Gonzalez
Request data	False	110566	Request sent: 2017-08-10	2017-08-10 16:43:29	2017-08-10 14:15:17	Controlling	Knox Gonzalez
Check contract conditions	False	110566	Checked by Knox Gonzalez	2017-08-10 16:43:31	2017-08-10 16:43:29	Controlling	Knox Gonzalez
Final check of invoice	True	110566	Checked by System	2017-08-10 16:44:04	2017-08-10 16:44:04	Auto-processor	System
Final check of invoice	True	110566	Checked by System	2017-08-17 16:46:00	2017-08-17 16:46:00	Auto-processor	System
Final check of invoice	False	110566	Checked by Xander Pittman	2017-08-20 16:46:29	2017-08-20 16:46:29	Other	Xander Pittman
Approve invoice	False	110566	Approve hierarchy (level 2)	2017-08-21 09:51:46	2017-08-21 04:10:00.333	Line management	Kiona Sanchez
Check received invoice	False	110567	Checked by Knox Gonzalez	2017-08-10 14:15:40	2017-08-10 14:15:39	Controlling	Knox Gonzalez
Request data	False	110567	Request sent: 2017-08-10	2017-08-10 16:44:20	2017-08-10 14:15:40	Controlling	Knox Gonzalez
Check contract conditions	False	110567	Checked by Knox Gonzalez	2017-08-10 16:44:20	2017-08-10 16:44:20	Controlling	Knox Gonzalez
Final check of invoice	True	110567	Checked by System	2017-08-10 16:45:13	2017-08-10 16:45:13	Auto-processor	System
Final check of invoice	True	110567	Checked by System	2017-08-17 16:46:00	2017-08-17 16:46:00	Auto-processor	System
Final check of invoice	True	110567	Checked by System	2017-08-20 16:46:29	2017-08-20 16:46:29	Auto-processor	System
Check contract conditions	False	110567	Checked by Knox Gonzalez	2017-08-24 16:49:09	2017-08-20 16:46:29	Controlling	Knox Gonzalez
Final check of invoice	False	110567	Checked by Xander Pittman	2017-08-24 17:12:53	2017-08-24 17:12:53	Other	Xander Pittman
Approve invoice	False	110567	Approve hierarchy (level 1)	2017-08-25 11:33:17	2017-08-25 05:26:29	Line management	Kiona Sanchez
Approve invoice	False	110567	Approve hierarchy (level 2)	2017-09-01 11:34:25	2017-08-30 03:34:02.333	Line management	Kiona Sanchez
Check received invoice	False	110568	Checked by Knox Gonzalez	2017-08-10 14:22:55	2017-08-10 14:22:54	Controlling	Knox Gonzalez
Request data	False	110568	Request sent: 2017-08-10	2017-08-10 18:03:31	2017-08-10 14:22:55	Controlling	Knox Gonzalez
Check contract conditions	False	110568	Checked by Knox Gonzalez	2017-08-10 18:03:31	2017-08-10 18:03:31	Controlling	Knox Gonzalez
Final check of invoice	False	110568	Checked by Kiona Sanchez	2017-08-10 18:04:06	2017-08-10 18:03:54.333	Line management	Kiona Sanchez
Approve invoice	False	110568	Approve hierarchy (level 3)	2017-08-17 10:08:49		Other	Rogan Campbell
Check received invoice	False	110569	Checked by Knox Gonzalez	2017-08-10 14:30:25	2017-08-10 14:30:23	Controlling	Knox Gonzalez
Request data	False	110569	Request sent: 2017-08-10	2017-09-02 13:14:50	2017-08-10 14:30:25	Controlling	Knox Gonzalez
Check contract conditions	False	110569	Checked by Knox Gonzalez	2017-09-02 13:14:53	2017-09-02 13:14:50	Controlling	Knox Gonzalez
Check contract conditions	False	110569	Checked by Knox Gonzalez	2017-09-02 13:15:01	2017-09-02 13:14:53	Controlling	Knox Gonzalez
Final check of invoice	True	110569	Checked by System	2017-09-02 13:28:42	2017-09-02 13:28:42	Auto-processor	System
Final check of invoice	False	110569	Checked by Quon Jefferson	2017-09-09 13:30:44		Other	Quon Jefferson
Pay invoice	False	110561	Bank account 7201788	2017-08-24 11:57:56	2017-08-19 10:02:44	Controlling	Knox Gonzalez
Pay invoice	False	110562	Bank account 7211789	2017-08-24 11:56:44	2017-08-19 08:42:35	Controlling	Knox Gonzalez
Pay invoice	False	110563	Bank account 7221790	2017-08-24 11:58:52	2017-08-19 10:03:22	Controlling	Knox Gonzalez
Pay invoice	False	110564	Bank account 7231791	2017-08-24 12:07:15	2017-08-21 09:50:34	Controlling	Knox Gonzalez
Pay invoice	False	110565	Bank account 7241792	2017-08-24 12:08:03	2017-08-21 09:51:11	Controlling	Knox Gonzalez
Pay invoice	False	110566	Bank account 7251793	2017-08-24 12:08:51	2017-08-21 09:51:46	Controlling	Knox Gonzalez
Pay invoice	False	110567	Bank account 7261794	2017-09-01 14:00:11	2017-09-01 11:34:25	Controlling	Knox Gonzalez
Pay invoice	False	110568	Bank account 7271795	2017-08-18 13:27:06	2017-08-17 10:08:49	Controlling	Knox Gonzalez
Approve invoice	False	110569	Approve hierarchy (level 3)	2017-09-14 09:36:17	2017-09-13 10:23:10.400	Financial approval	Neil Vega
Check received invoice	False	110570	Checked by Knox Gonzalez	2017-08-10 14:30:48	2017-08-10 14:30:46	Controlling	Knox Gonzalez
Request data	False	110570	Request sent: 2017-08-10	2017-09-02 13:13:36	2017-08-10 14:30:48	Controlling	Knox Gonzalez
Check contract conditions	False	110570	Checked by Knox Gonzalez	2017-09-02 13:13:38	2017-09-02 13:13:36	Controlling	Knox Gonzalez
Check contract conditions	False	110570	Checked by Knox Gonzalez	2017-09-02 13:13:45	2017-09-02 13:13:38	Controlling	Knox Gonzalez
Final check of invoice	False	110570	Checked by Shay Christensen	2017-09-02 13:34:35		Other	Shay Christensen
Approve invoice	False	110570	Approve hierarchy (level 2)	2017-09-02 14:54:00	2017-09-02 14:27:31.667	Line management	Kiona Sanchez
Check received invoice	False	110571	Checked by Clio Butler	2017-08-10 14:31:10	2017-08-10 14:31:09.667	Controlling	Clio Butler
Final check of invoice	False	110571	Checked by Gil Bush	2017-08-14 14:54:13	2017-08-13 14:48:27.250	Purchasing	Gil Bush
Approve invoice	False	110571	Approve hierarchy (level 1)	2017-08-17 10:18:02	2017-08-16 11:50:05.667	Financial approval	Norman Calhoun
Check received invoice	False	110572	Checked by Aaron Downs	2017-08-10 14:31:12	2017-08-10 14:31:12	Administration	Aaron Downs
Check received invoice	False	110574	Checked by Knox Gonzalez	2017-08-10 14:31:58	2017-08-10 14:31:56	Controlling	Knox Gonzalez
Request data	False	110574	Request sent: 2017-08-10	2017-09-02 13:12:24	2017-08-10 14:31:58	Controlling	Knox Gonzalez
Check contract conditions	False	110574	Checked by Knox Gonzalez	2017-09-02 13:12:27	2017-09-02 13:12:24	Controlling	Knox Gonzalez
Check contract conditions	False	110574	Checked by Knox Gonzalez	2017-09-02 13:12:39	2017-09-02 13:12:27	Controlling	Knox Gonzalez
Final check of invoice	False	110574	Checked by Tamara Aguilar	2017-09-02 13:31:59		Other	Tamara Aguilar
Approve invoice	False	110574	Approve hierarchy (level 2)	2017-09-02 14:36:31	2017-09-02 14:15:00.333	Line management	Kiona Sanchez
Check received invoice	False	110575	Checked by Knox Gonzalez	2017-08-10 14:32:22	2017-08-10 14:32:20	Controlling	Knox Gonzalez
Request data	False	110575	Request sent: 2017-08-10	2017-08-28 09:31:12	2017-08-10 14:32:22	Controlling	Knox Gonzalez
Check contract conditions	False	110575	Checked by Knox Gonzalez	2017-08-28 09:31:12	2017-08-28 09:31:12	Controlling	Knox Gonzalez
Check contract conditions	False	110575	Checked by Knox Gonzalez	2017-08-28 09:31:20	2017-08-28 09:31:12	Controlling	Knox Gonzalez
Final check of invoice	False	110575	Checked by Garrett Richardson	2017-09-02 14:02:07	2017-09-02 14:02:07	Other	Garrett Richardson
Approve invoice	False	110575	Approve hierarchy (level 1)	2017-09-07 09:17:47	2017-09-06 10:14:39	Financial approval	Neil Vega
Check received invoice	False	110576	Checked by Knox Gonzalez	2017-08-10 14:32:44	2017-08-10 14:32:43	Controlling	Knox Gonzalez
Request data	False	110576	Request sent: 2017-08-10	2017-08-28 09:27:41	2017-08-10 14:32:44	Controlling	Knox Gonzalez
Check contract conditions	False	110576	Checked by Knox Gonzalez	2017-08-28 09:27:41	2017-08-28 09:27:41	Controlling	Knox Gonzalez
Check contract conditions	False	110576	Checked by Knox Gonzalez	2017-08-28 09:27:58	2017-08-28 09:27:41	Controlling	Knox Gonzalez
Final check of invoice	False	110576	Checked by Tamara Aguilar	2017-09-02 14:05:42		Other	Tamara Aguilar
Approve invoice	False	110576	Approve hierarchy (level 3)	2017-09-02 14:37:06	2017-09-02 14:26:38	Line management	Kiona Sanchez
Check received invoice	False	110577	Checked by Knox Gonzalez	2017-08-10 14:33:08	2017-08-10 14:33:06	Controlling	Knox Gonzalez
Request data	False	110577	Request sent: 2017-08-10	2017-08-28 09:26:33	2017-08-10 14:33:08	Controlling	Knox Gonzalez
Check contract conditions	False	110577	Checked by Knox Gonzalez	2017-08-28 09:26:36	2017-08-28 09:26:33	Controlling	Knox Gonzalez
Check contract conditions	False	110577	Checked by Knox Gonzalez	2017-08-28 09:26:51	2017-08-28 09:26:36	Controlling	Knox Gonzalez
Final check of invoice	False	110577	Checked by Micah Munoz	2017-09-02 14:07:10		Other	Micah Munoz
Approve invoice	False	110577	Approve hierarchy (level 2)	2017-09-03 09:15:22	2017-09-03 05:25:43.600	Financial approval	Neil Vega
Check received invoice	False	110578	Checked by Knox Gonzalez	2017-08-10 14:33:31	2017-08-10 14:33:29	Controlling	Knox Gonzalez
Request data	False	110578	Request sent: 2017-08-10	2017-08-10 15:36:51	2017-08-10 14:33:31	Controlling	Knox Gonzalez
Check contract conditions	False	110578	Checked by Knox Gonzalez	2017-08-10 15:36:54	2017-08-10 15:36:51	Controlling	Knox Gonzalez
Final check of invoice	False	110578	Checked by Kiona Sanchez	2017-08-10 15:37:35	2017-08-10 15:37:21.333	Line management	Kiona Sanchez
Approve invoice	False	110578	Approve hierarchy (level 3)	2017-08-17 09:59:14		Other	Rogan Campbell
Check received invoice	False	110579	Checked by Knox Gonzalez	2017-08-10 14:33:54	2017-08-10 14:33:52	Controlling	Knox Gonzalez
Request data	False	110579	Request sent: 2017-08-10	2017-08-10 15:38:20	2017-08-10 14:33:54	Controlling	Knox Gonzalez
Check contract conditions	False	110579	Checked by Knox Gonzalez	2017-08-10 15:38:23	2017-08-10 15:38:20	Controlling	Knox Gonzalez
Final check of invoice	True	110579	Checked by System	2017-08-10 15:39:39	2017-08-10 15:39:39	Auto-processor	System
Final check of invoice	True	110579	Checked by System	2017-08-17 15:39:59	2017-08-17 15:39:59	Auto-processor	System
Final check of invoice	False	110579	Checked by Xander Pittman	2017-08-20 15:40:28	2017-08-20 15:40:28	Other	Xander Pittman
Approve invoice	False	110579	Approve hierarchy (level 3)	2017-08-21 09:48:19	2017-08-21 03:45:42	Line management	Kiona Sanchez
Check received invoice	False	110581	Checked by Knox Gonzalez	2017-08-10 14:34:18	2017-08-10 14:34:16	Controlling	Knox Gonzalez
Request data	False	110581	Request sent: 2017-08-10	2017-08-10 15:39:59	2017-08-10 14:34:18	Controlling	Knox Gonzalez
Check contract conditions	False	110581	Checked by Knox Gonzalez	2017-08-10 15:39:59	2017-08-10 15:39:59	Controlling	Knox Gonzalez
Final check of invoice	True	110581	Checked by System	2017-08-10 15:41:33	2017-08-10 15:41:33	Auto-processor	System
Final check of invoice	True	110581	Checked by System	2017-08-17 15:42:59	2017-08-17 15:42:59	Auto-processor	System
Final check of invoice	False	110581	Checked by Xander Pittman	2017-08-20 15:43:28	2017-08-20 15:43:28	Other	Xander Pittman
Approve invoice	False	110581	Approve hierarchy (level 3)	2017-08-21 09:48:59	2017-08-21 03:47:08.667	Line management	Kiona Sanchez
Pay invoice	False	110569	Bank account 7281796	2017-09-14 16:51:32	2017-09-14 09:36:17	Controlling	Knox Gonzalez
Pay invoice	False	110570	Bank account 7291797	2017-09-08 11:30:56	2017-09-02 14:54:00	Controlling	Knox Gonzalez
Pay invoice	False	110571	Bank account 7301798	2017-08-17 14:06:20	2017-08-17 12:50:14	Controlling	Clio Butler
Pay invoice	False	110574	Bank account 7321800	2017-09-08 14:09:19	2017-09-02 14:36:31	Controlling	Knox Gonzalez
Pay invoice	False	110575	Bank account 7331801	2017-09-08 17:48:28	2017-09-07 09:17:47	Controlling	Knox Gonzalez
Pay invoice	False	110576	Bank account 7341802	2017-09-08 11:28:28	2017-09-02 14:37:06	Controlling	Knox Gonzalez
Pay invoice	False	110577	Bank account 7351803	2017-09-03 15:41:28	2017-09-03 09:15:22	Controlling	Knox Gonzalez
Pay invoice	False	110578	Bank account 7361804	2017-08-18 13:24:56	2017-08-17 09:59:14	Controlling	Knox Gonzalez
Pay invoice	False	110579	Bank account 7371805	2017-08-24 12:03:29	2017-08-21 09:48:19	Controlling	Knox Gonzalez
Pay invoice	False	110581	Bank account 7381806	2017-08-24 12:04:21	2017-08-21 09:48:59	Controlling	Knox Gonzalez
Check received invoice	False	110582	Checked by Knox Gonzalez	2017-08-10 14:34:40	2017-08-10 14:34:39	Controlling	Knox Gonzalez
Request data	False	110582	Request sent: 2017-08-10	2017-08-10 15:42:13	2017-08-10 14:34:40	Controlling	Knox Gonzalez
Check contract conditions	False	110582	Checked by Knox Gonzalez	2017-08-10 15:42:13	2017-08-10 15:42:13	Controlling	Knox Gonzalez
Final check of invoice	True	110582	Checked by System	2017-08-10 15:42:44	2017-08-10 15:42:44	Auto-processor	System
Final check of invoice	True	110582	Checked by System	2017-08-17 15:42:59	2017-08-17 15:42:59	Auto-processor	System
Final check of invoice	False	110582	Checked by Xander Pittman	2017-08-20 15:43:28	2017-08-20 15:43:28	Other	Xander Pittman
Approve invoice	False	110582	Approve hierarchy (level 3)	2017-08-21 09:49:52	2017-08-21 03:47:44	Line management	Kiona Sanchez
Check received invoice	False	110583	Checked by Knox Gonzalez	2017-08-10 14:35:04	2017-08-10 14:35:02	Controlling	Knox Gonzalez
Request data	False	110583	Request sent: 2017-08-10	2017-08-10 15:44:01	2017-08-10 14:35:04	Controlling	Knox Gonzalez
Check contract conditions	False	110583	Checked by Knox Gonzalez	2017-08-10 15:44:03	2017-08-10 15:44:01	Controlling	Knox Gonzalez
Final check of invoice	False	110583	Checked by Kiona Sanchez	2017-08-10 15:44:47	2017-08-10 15:44:32.333	Line management	Kiona Sanchez
Approve invoice	False	110583	Approve hierarchy (level 1)	2017-08-17 10:00:35		Other	Rogan Campbell
Check received invoice	False	110584	Checked by Knox Gonzalez	2017-08-10 14:35:27	2017-08-10 14:35:25	Controlling	Knox Gonzalez
Request data	False	110584	Request sent: 2017-08-10	2017-08-10 15:47:50	2017-08-10 14:35:27	Controlling	Knox Gonzalez
Check contract conditions	False	110584	Checked by Knox Gonzalez	2017-08-10 15:47:50	2017-08-10 15:47:50	Controlling	Knox Gonzalez
Final check of invoice	False	110584	Checked by Yoko Salas	2017-08-10 15:48:36	2017-08-10 15:48:36	Other	Yoko Salas
Approve invoice	False	110584	Approve hierarchy (level 2)	2017-08-12 16:03:04	2017-08-11 23:58:14.667	Line management	Kiona Sanchez
Check received invoice	False	110585	Checked by Knox Gonzalez	2017-08-10 14:35:50	2017-08-10 14:35:49	Controlling	Knox Gonzalez
Request data	False	110585	Request sent: 2017-08-10	2017-08-10 15:51:44	2017-08-10 14:35:50	Controlling	Knox Gonzalez
Check contract conditions	False	110585	Checked by Knox Gonzalez	2017-08-10 15:51:47	2017-08-10 15:51:44	Controlling	Knox Gonzalez
Final check of invoice	True	110585	Checked by System	2017-08-10 15:53:28	2017-08-10 15:53:28	Auto-processor	System
Final check of invoice	True	110585	Checked by System	2017-08-17 15:54:59	2017-08-17 15:54:59	Auto-processor	System
Final check of invoice	True	110585	Checked by System	2017-08-20 15:55:28	2017-08-20 15:55:28	Auto-processor	System
Check contract conditions	False	110585	Checked by Knox Gonzalez	2017-08-24 15:58:09	2017-08-20 15:55:28	Controlling	Knox Gonzalez
Final check of invoice	False	110585	Checked by Laurel Ware	2017-08-24 16:16:30	2017-08-24 16:16:30	Other	Laurel Ware
Approve invoice	False	110585	Approve hierarchy (level 1)	2017-08-26 17:25:36	2017-08-26 01:02:34	Line management	Kiona Sanchez
Check received invoice	False	110586	Checked by Hunter Garcia	2017-08-10 14:36:13	2017-08-10 14:36:13	Administration	Hunter Garcia
Final check of invoice	False	110586	Checked by Ignacia Taylor	2017-08-11 09:27:53	2017-08-11 04:44:58	Purchasing	Ignacia Taylor
Final check of invoice	False	110586	Checked by Blaze Barber	2017-08-13 11:07:23	2017-08-13 01:11:29	Purchasing	Blaze Barber
Approve invoice	False	110586	Approve hierarchy (level 1)	2017-08-17 09:04:14	2017-08-15 19:29:29.600	Line management	Griffin Donaldson
Check received invoice	False	110587	Checked by Hunter Garcia	2017-08-10 14:36:36	2017-08-10 14:36:36	Administration	Hunter Garcia
Final check of invoice	False	110587	Checked by Ignacia Taylor	2017-08-11 09:32:37	2017-08-11 04:48:36.750	Purchasing	Ignacia Taylor
Final check of invoice	False	110587	Checked by Blaze Barber	2017-08-13 11:12:01	2017-08-13 01:16:08.200	Purchasing	Blaze Barber
Approve invoice	False	110587	Approve hierarchy (level 1)	2017-08-17 09:03:46	2017-08-15 19:31:04	Line management	Griffin Donaldson
Check received invoice	False	110588	Checked by Hunter Garcia	2017-08-10 14:37:00	2017-08-10 14:37:00	Administration	Hunter Garcia
Final check of invoice	False	110588	Checked by Brady Wilson	2017-08-11 09:33:16		Other	Brady Wilson
Approve invoice	False	110588	Approve hierarchy (level 3)	2017-08-11 11:03:34	2017-08-11 11:03:34	Other	Hashim Salinas
Check received invoice	False	110589	Checked by Hunter Garcia	2017-08-10 14:37:23	2017-08-10 14:37:23	Administration	Hunter Garcia
Final check of invoice	False	110589	Checked by Haviva Hernandez	2017-08-11 09:33:50	2017-08-11 09:33:50	Other	Haviva Hernandez
Approve invoice	False	110589	Approve hierarchy (level 2)	2017-08-11 12:23:18	2017-08-11 11:15:30.800	Line management	Griffin Donaldson
Check received invoice	False	110590	Checked by Hunter Garcia	2017-08-10 14:37:46	2017-08-10 14:37:46	Administration	Hunter Garcia
Final check of invoice	False	110590	Checked by Wesley Preston	2017-08-11 09:34:26	2017-08-11 09:34:26	Other	Wesley Preston
Approve invoice	False	110590	Approve hierarchy (level 1)	2017-08-13 15:04:49	2017-08-12 17:40:39.800	Line management	Griffin Donaldson
Check received invoice	False	110591	Checked by Hunter Garcia	2017-08-10 14:38:09	2017-08-10 14:38:09	Administration	Hunter Garcia
Final check of invoice	True	110591	Checked by System	2017-08-11 09:35:29	2017-08-11 09:35:29	Auto-processor	System
Final check of invoice	True	110591	Checked by System	2017-08-20 09:37:25	2017-08-20 09:37:25	Auto-processor	System
Final check of invoice	True	110591	Checked by System	2017-08-27 09:37:36	2017-08-27 09:37:36	Auto-processor	System
Final check of invoice	False	110591	Checked by Nathan Lewis	2017-09-03 09:51:38	2017-09-03 09:51:38	Other	Nathan Lewis
Final check of invoice	True	110591	Checked by System	2017-09-03 10:28:45	2017-09-03 10:28:45	Auto-processor	System
Final check of invoice	True	110591	Checked by System	2017-09-14 10:31:31	2017-09-14 10:31:31	Auto-processor	System
Final check of invoice	False	110591	Checked by Jared Cotton	2017-09-21 10:31:40	2017-09-21 10:31:40	Other	Jared Cotton
Approve invoice	False	110591	Approve hierarchy (level 1)	2017-09-21 10:57:16	2017-09-21 10:57:16	Other	Nathan Lewis
Approve invoice	False	110591	Approve hierarchy (level 2)	2017-09-21 11:50:08	2017-09-21 11:50:08	Other	Cecilia Kline
Check received invoice	False	110592	Checked by Hunter Garcia	2017-08-10 14:38:32	2017-08-10 14:38:32	Administration	Hunter Garcia
Pay invoice	False	110582	Bank account 7391807	2017-08-24 12:06:15	2017-08-21 09:49:52	Controlling	Knox Gonzalez
Pay invoice	False	110583	Bank account 7401808	2017-08-18 13:25:41	2017-08-17 10:00:35	Controlling	Knox Gonzalez
Pay invoice	False	110584	Bank account 7411809	2017-08-18 11:09:13	2017-08-12 16:03:04	Controlling	Knox Gonzalez
Pay invoice	False	110585	Bank account 7421810	2017-09-01 13:59:30	2017-08-26 17:25:36	Controlling	Knox Gonzalez
Pay invoice	False	110586	Bank account 7431811	2017-08-18 07:48:06	2017-08-18 07:48:06	Finance	Lars Walker
Pay invoice	False	110587	Bank account 7441812	2017-08-18 07:47:58	2017-08-18 07:47:58	Finance	Lars Walker
Pay invoice	False	110588	Bank account 7451813	2017-08-11 11:49:01	2017-08-11 11:49:01	Finance	Lars Walker
Pay invoice	False	110589	Bank account 7461814	2017-08-18 07:46:01	2017-08-18 07:46:01	Finance	Lars Walker
Pay invoice	False	110590	Bank account 7471815	2017-08-18 07:47:25	2017-08-18 07:47:25	Finance	Lars Walker
Pay invoice	False	110591	Bank account 7481816	2017-09-03 09:39:45	2017-09-03 09:39:45	Finance	Lars Walker
Pay invoice	False	110591	Bank account 7481816	2017-09-21 14:20:34	2017-09-21 14:20:34	Finance	Lars Walker
Final check of invoice	False	110592	Checked by Grant Douglas	2017-08-11 09:37:24	2017-08-11 09:37:24	Other	Grant Douglas
Final check of invoice	False	110592	Checked by Haviva Hernandez	2017-08-11 09:48:43	2017-08-11 09:48:43	Other	Haviva Hernandez
Final check of invoice	False	110592	Checked by Ivan Wilkerson	2017-08-11 13:47:30	2017-08-11 13:47:30	Other	Ivan Wilkerson
Approve invoice	False	110592	Approve hierarchy (level 3)	2017-08-11 14:13:42	2017-08-11 14:13:42	Other	Hashim Salinas
Check received invoice	False	110593	Checked by Hunter Garcia	2017-08-10 14:38:55	2017-08-10 14:38:55	Administration	Hunter Garcia
Final check of invoice	False	110593	Checked by Brady Wilson	2017-08-11 09:39:15		Other	Brady Wilson
Approve invoice	False	110593	Approve hierarchy (level 2)	2017-08-11 11:09:56	2017-08-11 11:09:56	Other	Hashim Salinas
Check received invoice	False	110594	Checked by Hunter Garcia	2017-08-10 14:39:18	2017-08-10 14:39:18	Administration	Hunter Garcia
Final check of invoice	False	110594	Checked by Wesley Preston	2017-08-11 09:39:53	2017-08-11 09:39:53	Other	Wesley Preston
Final check of invoice	False	110594	Checked by Brady Wilson	2017-08-13 15:15:26		Other	Brady Wilson
Final check of invoice	False	110594	Checked by Ivan Wilkerson	2017-08-13 16:16:34	2017-08-13 16:16:34	Other	Ivan Wilkerson
Final check of invoice	False	110594	Checked by Grant Douglas	2017-08-14 08:37:19	2017-08-14 08:37:19	Other	Grant Douglas
Approve invoice	False	110594	Approve hierarchy (level 1)	2017-08-14 08:55:16	2017-08-14 08:48:05.200	Line management	Griffin Donaldson
Check received invoice	False	110595	Checked by Rebecca Love	2017-08-10 15:00:25	2017-08-10 15:00:25	Finance	Rebecca Love
Final check of invoice	False	110595	Checked by Lilah Olsen	2017-08-11 14:45:32	2017-08-11 14:45:32	Other	Lilah Olsen
Final check of invoice	False	110595	Checked by Kenneth Beard	2017-08-18 15:49:57	2017-08-18 15:49:57	Other	Kenneth Beard
Approve invoice	False	110595	Approve hierarchy (level 2)	2017-08-18 16:04:55	2017-08-18 16:01:10.500	Financial approval	Jemima Woods
Check received invoice	False	110596	Checked by Rebecca Love	2017-08-10 15:00:49	2017-08-10 15:00:49	Finance	Rebecca Love
Final check of invoice	False	110596	Checked by Maryam Beard	2017-08-11 14:56:24	2017-08-11 14:56:24	Other	Maryam Beard
Approve invoice	False	110596	Approve hierarchy (level 1)	2017-08-12 10:25:08	2017-08-12 10:25:08	Other	Paula Duffy
Check received invoice	False	110597	Checked by Rebecca Love	2017-08-10 15:01:12	2017-08-10 15:01:12	Finance	Rebecca Love
Final check of invoice	False	110597	Checked by Summer Holcomb	2017-08-11 14:57:11	2017-08-11 08:58:11.250	Purchasing	Summer Holcomb
Approve invoice	False	110597	Approve hierarchy (level 3)	2017-08-17 15:05:28	2017-08-16 10:15:48.600	Financial approval	Xerxes Espinoza
Check received invoice	False	110598	Checked by Rebecca Love	2017-08-10 15:01:35	2017-08-10 15:01:35	Finance	Rebecca Love
Final check of invoice	True	110598	Checked by System	2017-08-11 14:57:50	2017-08-11 14:57:50	Auto-processor	System
Final check of invoice	False	110598	Checked by Summer Holcomb	2017-08-20 14:58:28	2017-08-18 08:58:18.500	Purchasing	Summer Holcomb
Approve invoice	False	110598	Approve hierarchy (level 3)	2017-08-24 13:42:54	2017-08-23 18:46:00.800	Financial approval	Xerxes Espinoza
Check received invoice	False	110599	Checked by Rebecca Love	2017-08-10 15:01:58	2017-08-10 15:01:58	Finance	Rebecca Love
Final check of invoice	False	110599	Checked by Summer Holcomb	2017-08-11 14:58:25	2017-08-11 08:59:18.250	Purchasing	Summer Holcomb
Approve invoice	False	110599	Approve hierarchy (level 2)	2017-08-17 14:37:46	2017-08-16 09:53:53.800	Financial approval	Xerxes Espinoza
